------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=119.999 sec; Warm up time=400 msec; SentMessages=12001; ReceivedMessages=12000
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=66.328 (std-dev=100.572, mean-ad=21.204, median-ad=16.105, siqr=11.703, cv=1.516, std-error=0.920, 99.0% ci=[63.959, 68.697])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 4016.060
sockperf: ---> percentile 99.999 = 4016.060
sockperf: ---> percentile 99.990 = 3518.218
sockperf: ---> percentile 99.900 = 1885.813
sockperf: ---> percentile 99.000 =  223.075
sockperf: ---> percentile 90.000 =   85.152
sockperf: ---> percentile 75.000 =   70.596
sockperf: ---> percentile 50.000 =   56.554
sockperf: ---> percentile 25.000 =   47.190
sockperf: ---> <MIN> observation =   21.605
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
392, 11.337140464, 11.337239688, 99.224
393, 11.347140463, 11.347218673, 78.210
394, 11.357140460, 11.357217936, 77.476
395, 11.367140471, 11.367231464, 90.993
396, 11.377140464, 11.377219098, 78.634
397, 11.387140466, 11.387216840, 76.374
398, 11.397140464, 11.397240801, 100.337
399, 11.407140487, 11.407216096, 75.609
400, 11.417140462, 11.417188859, 48.397
401, 11.427140460, 11.427184694, 44.234
402, 11.437140470, 11.437186021, 45.551
403, 11.447140463, 11.447220724, 80.261
404, 11.457140461, 11.457212058, 71.597
405, 11.467140469, 11.467198961, 58.492
406, 11.477140464, 11.477210694, 70.230
407, 11.487140465, 11.487188487, 48.022
408, 11.497140459, 11.497189408, 48.949
409, 11.507140461, 11.507200195, 59.734
410, 11.517140464, 11.517193342, 52.878
411, 11.527140464, 11.527200779, 60.315
412, 11.537140465, 11.537209732, 69.267
413, 11.547140464, 11.547197225, 56.761
414, 11.557140499, 11.559236875, 2096.376
415, 11.567140507, 11.567224546, 84.039
416, 11.577140469, 11.577193242, 52.773
417, 11.587140464, 11.587189307, 48.843
418, 11.597140469, 11.597182435, 41.966
419, 11.607140569, 11.607202447, 61.878
420, 11.617140942, 11.619833449, 2692.507
421, 11.627140737, 11.627210123, 69.386
422, 11.637140720, 11.637316984, 176.264
423, 11.647140480, 11.647215698, 75.218
424, 11.657140499, 11.657215730, 75.231
425, 11.667140588, 11.667226684, 86.096
426, 11.677140483, 11.677205155, 64.672
427, 11.687140861, 11.687197951, 57.090
428, 11.697140483, 11.697185010, 44.527
429, 11.707140465, 11.707184123, 43.658
430, 11.717140465, 11.717176820, 36.355
431, 11.727140506, 11.727195752, 55.246
432, 11.737140483, 11.737187129, 46.646
433, 11.747140543, 11.747201325, 60.782
434, 11.757140548, 11.757183553, 43.005
435, 11.767140471, 11.767234755, 94.284
436, 11.777140493, 11.777215702, 75.209
437, 11.787140487, 11.787186802, 46.315
438, 11.797140800, 11.797183090, 42.290
439, 11.807140466, 11.807185398, 44.932
440, 11.817140469, 11.817196400, 55.931
441, 11.827140470, 11.827187062, 46.592
442, 11.837140463, 11.837217829, 77.366
443, 11.847140466, 11.847210584, 70.118
444, 11.857140463, 11.857203276, 62.813
445, 11.867140481, 11.867204500, 64.019
446, 11.877140647, 11.877202065, 61.418
447, 11.887140546, 11.887201065, 60.519
448, 11.897140487, 11.897193149, 52.662
449, 11.907140531, 11.907202450, 61.919
450, 11.917140465, 11.917188991, 48.526
451, 11.927140463, 11.927183225, 42.762
452, 11.937140471, 11.937228940, 88.469
453, 11.947140510, 11.947261673, 121.163
454, 11.957140911, 11.957251158, 110.247
455, 11.967140465, 11.967198613, 58.148
456, 11.977140465, 11.977215979, 75.514
457, 11.987140468, 11.987204562, 64.094
458, 11.997140467, 11.997232287, 91.820
459, 12.007140468, 12.007222128, 81.660
460, 12.017140469, 12.017220908, 80.439
461, 12.027140466, 12.027219492, 79.026
462, 12.037140467, 12.037211863, 71.396
463, 12.047140470, 12.047221647, 81.177
464, 12.057140482, 12.057203843, 63.361
465, 12.067140463, 12.067226007, 85.544
466, 12.077140470, 12.077206766, 66.296
467, 12.087140471, 12.087203849, 63.378
468, 12.097140469, 12.097211568, 71.099
469, 12.107140471, 12.107226127, 85.656
470, 12.117140463, 12.117214970, 74.507
471, 12.127140466, 12.127210802, 70.336
472, 12.137140465, 12.137232784, 92.319
473, 12.147140489, 12.147241937, 101.448
474, 12.157140470, 12.157211428, 70.958
475, 12.167140470, 12.167211350, 70.880
476, 12.177140465, 12.177211538, 71.073
477, 12.187140472, 12.187211813, 71.341
478, 12.197140532, 12.197225624, 85.092
479, 12.207140469, 12.207212273, 71.804
480, 12.217140470, 12.217214385, 73.915
481, 12.227140470, 12.227225085, 84.615
482, 12.237140464, 12.237218111, 77.647
483, 12.247140466, 12.247217546, 77.080
484, 12.257140469, 12.257210421, 69.952
485, 12.267140465, 12.267214920, 74.455
486, 12.277140506, 12.277213925, 73.419
487, 12.287140464, 12.287202844, 62.380
488, 12.297140490, 12.297205707, 65.217
